Period,Window,Factor,Alpha_Ann,t_stat,p_value,Beta,R_squared
Full (2005-2025),21d,mkt_rf,-0.05223771858011831,-1.1250133941531169,0.26058335849990955,0.6369747632580793,0.46621472167650135
Full (2005-2025),21d,smb,-0.05420592213485877,-2.360065229564087,0.018271721934551625,0.6991253363488256,0.569022338455678
Full (2005-2025),21d,hml,0.004149774499957198,0.24093756960180648,0.8096035033687708,0.7068076217106387,0.5583538980182298
Full (2005-2025),21d,rmw,0.022526550484066855,1.0001721634320138,0.31722719801422594,0.7276525040581322,0.5767653885798546
Full (2005-2025),21d,cma,-0.021033178442510448,-1.260359094340664,0.20753985101897743,0.7027089858498137,0.5754530414491283
Full (2005-2025),21d,umd,0.08108183040834295,3.266283390136085,0.0010896913876247728,0.7114386023970635,0.591265592403758
In-Sample (2010-2019),21d,mkt_rf,-0.05646073657611261,-0.9253685091074461,0.354774253550465,0.7069270668255564,0.5102693848377453
In-Sample (2010-2019),21d,smb,-0.06050437264210806,-1.6680667545379522,0.09530247591228903,0.899630701065409,0.5997891394932635
In-Sample (2010-2019),21d,hml,0.01109740392296584,0.39904512980561047,0.6898599513625763,0.7813214796739408,0.5515548920508658
In-Sample (2010-2019),21d,rmw,0.027540097219945558,0.7262881949965704,0.46766211472882246,0.7505451629746939,0.5161521900053563
In-Sample (2010-2019),21d,cma,0.01577802930449316,0.6353801088164577,0.525180537909811,0.9958668686032155,0.6238697112873155
In-Sample (2010-2019),21d,umd,0.10862311998284366,2.713084783870021,0.006666004890900565,0.8199962919100403,0.5682129446338646
Out-of-Sample (2020-2025),21d,mkt_rf,-0.17258248945110413,-2.165540925577945,0.030346284798898338,1.331145412124984,0.6876107536182285
Out-of-Sample (2020-2025),21d,smb,-0.05373565372427963,-1.5173120132917053,0.12918792655122915,0.48607420368359844,0.5428149508804284
Out-of-Sample (2020-2025),21d,hml,-0.004184522569244654,-0.2043730248452286,0.8380620083556177,0.5237798838280697,0.6707126189291445
Out-of-Sample (2020-2025),21d,rmw,0.03673072388012782,1.133274428409042,0.25709902688984554,0.8050295104312125,0.6859253811648958
Out-of-Sample (2020-2025),21d,cma,-0.030103337303202846,-1.3374229680348657,0.18108461140065524,0.475545968873348,0.6119805498438086
Out-of-Sample (2020-2025),21d,umd,0.04274427009590834,1.1708986658547136,0.24163951146847595,0.5694064699528716,0.6301365311501865
Crash_2015 (股灾),21d,mkt_rf,-0.0963051764053533,-0.9163999714709999,0.3594571502929961,0.15379306023011574,0.4669962672973813
Crash_2015 (股灾),21d,smb,-0.021099684250016137,-0.38885387987839753,0.6973842408589208,0.23507021989279242,0.7044062274045524
Crash_2015 (股灾),21d,hml,0.031423034513727965,0.7768947930985659,0.43722084350485313,0.2519649124614591,0.7307984256607956
Crash_2015 (股灾),21d,rmw,0.1831510860841378,2.0760787888387,0.037886664589335164,0.17116042066293988,0.46382557165659377
Crash_2015 (股灾),21d,cma,0.09326426835161475,1.2074860494193795,0.2272450144338084,0.3150991227647276,0.4978814014982428
Crash_2015 (股灾),21d,umd,-0.2991231009200368,-2.3216949558064277,0.020249366755872095,0.363998206745483,0.42621406928371997
Crash_2018 (贸易战),21d,mkt_rf,-0.23525301397744336,-1.5518091138689736,0.12070790458045555,1.0352712307115448,0.7354530601101605
Crash_2018 (贸易战),21d,smb,-0.20068400027111666,-2.7312353775323617,0.006309738966470079,0.9932043736260191,0.7431110833504652
